"OTU.ID"	"G1F0C1A"	"G1F0C2A"	"G1F0C3A"	"G1F0C4A"	"G1F0C5A"	"G1F0C6A"	"G1F0C7A"	"G1F0C8A"	"G1F0N1A"	"G1F0N2A"	"G1F0N3A"	"G1F0N4A"	"G1F0N5A"	"G1F0N6A"	"G1F0N7A"	"G1F0N8A"	"G1F1C1"	"G1F1C10"	"G1F1C11"	"G1F1C12"	"G1F1C13"	"G1F1C14"	"G1F1C15"	"G1F1C2"	"G1F1C3"	"G1F1C4"	"G1F1C5"	"G1F1C6"	"G1F1C7"	"G1F1C8"	"G1F1C9"	"G1F1N1"	"G1F1N10"	"G1F1N11"	"G1F1N12"	"G1F1N13"	"G1F1N14"	"G1F1N15"	"G1F1N2"	"G1F1N3"	"G1F1N4"	"G1F1N5"	"G1F1N6"	"G1F1N7"	"G1F1N8"	"G1F1N9"	"G2F2C1"	"G2F2C10"	"G2F2C11"	"G2F2C12"	"G2F2C13"	"G2F2C14"	"G2F2C15"	"G2F2C15B"	"G2F2C2"	"G2F2C3"	"G2F2C4"	"G2F2C5"	"G2F2C6"	"G2F2C7"	"G2F2C8"	"G2F2C9"	"G2F2N1"	"G2F2N10"	"G2F2N11"	"G2F2N12"	"G2F2N13"	"G2F2N14"	"G2F2N15"	"G2F2N2"	"G2F2N3"	"G2F2N4"	"G2F2N5"	"G2F2N6"	"G2F2N7"	"G2F2N8"	"G2F2N9"	"G2F3C1"	"G2F3C10"	"G2F3C11"	"G2F3C12"	"G2F3C13"	"G2F3C14"	"G2F3C15"	"G2F3C2"	"G2F3C3"	"G2F3C4"	"G2F3C5"	"G2F3C6"	"G2F3C7"	"G2F3C8"	"G2F3C9"	"G2F3N1"	"G2F3N10"	"G2F3N11"	"G2F3N12"	"G2F3N13"	"G2F3N14"	"G2F3N15"	"G2F3N2"	"G2F3N3"	"G2F3N4"	"G2F3N5"	"G2F3N6"	"G2F3N7"	"G2F3N8"	"G2F3N9"
"1"	"b4d99952ced36febcddb9f39e9fe2dc8"	1110	909	479	660	188	982	690	1792	7657	4244	4011	4171	3134	2862	7113	6048	831	461	3951	730	18	83	606	358	2412	2336	1127	1908	756	768	4856	61	810	670	78	1261	974	669	76	337	656	1647	427	849	458	645	2262	2526	1079	2458	3127	2252	1020	156	1619	1486	1738	6193	5381	4874	5992	3062	2861	4341	3987	7956	3437	2915	1823	7660	3436	9073	3508	5141	1463	2401	2709	472	775	535	641	442	1046	796	622	725	882	1587	365	454	429	632	1688	2084	1255	1923	1261	569	853	268	771	244	626	631	306	236	380
"2"	"783c5bc40513df5700ca8214f107ec38"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	58	50	0	48	0	36	12	0	29	63	25	18	46	0	0	0	0	0	25	0	0	0	22	97	20	0	77	10	839	464	1332	1201	405	884	1333	489	224	371	467	709	782	392	707	541	1097	1153	513	1053	1199	974	275	296	326	347	728	1060	499	683
"3"	"48c8bd27f935e5531d052fd240923a71"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	14	32	0	18	0	21	0	0	42	0	0	0	0	75	33	39	50	9	48	0	37	0	52	0	0	0	20	0	0	564	556	1504	922	389	936	1113	428	191	373	553	595	540	374	667	530	943	1031	419	1046	944	961	288	324	528	396	914	784	518	843
"4"	"c9b064a4bee2207594dc663648379464"	25	0	0	0	41	25	55	0	0	0	0	0	7	7	0	0	150	135	508	253	83	165	264	249	254	250	531	281	231	211	288	211	577	296	331	260	281	105	100	298	318	158	39	144	264	518	53	109	34	245	124	47	234	35	59	14	77	106	92	46	111	337	63	54	149	26	68	88	78	0	126	100	158	85	35	76	86	83	55	169	136	58	127	151	85	30	52	75	103	92	50	60	114	160	164	101	142	197	140	55	41	46	63	134	115	112	98
"5"	"19a7ca463a3fe1ec83d1ab0daeee93f9"	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	13	0	0	0	0	5	0	26	0	0	104	53	190	125	299	137	278	182	90	93	248	76	148	39	85	258	40	114	179	59	137	98	54	0	53	36	155	109	38	76	70	179	51	94	201	45	108	124	172	156	96	139	128	211	203	92	230	107	96	149	172	136	68	58	127	203	72	106	120	52	84
"6"	"091521a73983b3712a43dcf3625592dd"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	156	418	338	125	244	434	154	77	121	192	185	235	127	194	157	374	312	192	320	353	276	112	117	128	139	275	286	142	226
"7"	"fb41cd895d082d5461862d893a37a1b9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	34	120	106	19	47	25	47	33	103	0	74	29	79	50	20	146	0	29	98	0	20	0	72	28	51	0	20	43	58	0	20	12	45	15	12	46	15	37	0	21	30	53	21	33	59	20	27	0	0	13	0	12	0	27	0	21	21	0	34	13	91	45	175	131	72	141	251	69	30	62	51	80	87	78	89	83	104	125	139	94	145	115	44	57	46	42	111	136	74	73
"8"	"0834d300bbf5fa7e9eda32ee071b8c72"	9	0	13	16	4	96	94	7	5	0	0	12	0	14	13	8	0	30	88	34	0	114	29	11	17	9	72	13	80	0	26	160	186	0	48	155	0	0	18	157	85	20	0	90	15	162	0	5	26	12	32	0	14	0	8	5	0	22	50	0	25	32	4	0	36	5	19	21	14	0	60	18	40	29	20	8	19	18	0	13	13	5	0	36	22	21	20	39	0	20	8	26	21	17	30	34	87	120	0	0	12	0	5	0	6	6	23
"9"	"8a7af679d77f0ad2c95591fb45a118db"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
"10"	"de18832ab936a2e53bf91171b28020a0"	27	21	62	26	0	62	22	0	0	0	0	23	12	13	11	18	0	56	24	29	0	0	0	0	39	43	63	14	0	0	7	65	81	35	33	73	51	0	0	0	39	45	33	16	55	102	25	0	15	27	33	0	20	43	12	0	41	0	81	0	0	52	0	0	0	0	13	0	0	0	24	0	28	26	0	37	0	0	0	0	24	0	0	0	0	0	0	24	10	0	11	0	0	12	7	0	48	0	0	0	0	0	0	6	10	0	0
