"ID"	"SampleType"	"Plate"	"Generation"	"Treatment"	"SampleNumber"	"GenTreat"	"TypeGenTreat"	"TransGen"
"1"	"G1F0C1A"	"Gut"	"G1"	"F0"	"C"	1	"F0C"	"GF0C"	"D"
"2"	"G1F0C2A"	"Gut"	"G1"	"F0"	"C"	2	"F0C"	"GF0C"	"D"
"3"	"G1F0C3A"	"Gut"	"G1"	"F0"	"C"	3	"F0C"	"GF0C"	"D"
"4"	"G1F0C4A"	"Gut"	"G1"	"F0"	"C"	4	"F0C"	"GF0C"	"D"
"5"	"G1F0C5A"	"Gut"	"G1"	"F0"	"C"	5	"F0C"	"GF0C"	"D"
"6"	"G1F0C6A"	"Gut"	"G1"	"F0"	"C"	6	"F0C"	"GF0C"	"D"
"7"	"G1F0C7A"	"Gut"	"G1"	"F0"	"C"	7	"F0C"	"GF0C"	"D"
"8"	"G1F0C8A"	"Gut"	"G1"	"F0"	"C"	8	"F0C"	"GF0C"	"D"
"9"	"G1F0N1A"	"Gut"	"G1"	"F0"	"N"	1	"F0N"	"GF0N"	"D"
"10"	"G1F0N2A"	"Gut"	"G1"	"F0"	"N"	2	"F0N"	"GF0N"	"D"
"11"	"G1F0N3A"	"Gut"	"G1"	"F0"	"N"	3	"F0N"	"GF0N"	"D"
"12"	"G1F0N4A"	"Gut"	"G1"	"F0"	"N"	4	"F0N"	"GF0N"	"D"
"13"	"G1F0N5A"	"Gut"	"G1"	"F0"	"N"	5	"F0N"	"GF0N"	"D"
"14"	"G1F0N6A"	"Gut"	"G1"	"F0"	"N"	6	"F0N"	"GF0N"	"D"
"15"	"G1F0N7A"	"Gut"	"G1"	"F0"	"N"	7	"F0N"	"GF0N"	"D"
"16"	"G1F0N8A"	"Gut"	"G1"	"F0"	"N"	8	"F0N"	"GF0N"	"D"
"17"	"G1F1C1"	"Gut"	"G1"	"F1"	"C"	1	"F1C"	"GF1C"	"D"
"18"	"G1F1C10"	"Gut"	"G1"	"F1"	"C"	10	"F1C"	"GF1C"	"D"
"19"	"G1F1C11"	"Gut"	"G1"	"F1"	"C"	11	"F1C"	"GF1C"	"D"
"20"	"G1F1C12"	"Gut"	"G1"	"F1"	"C"	12	"F1C"	"GF1C"	"D"
"21"	"G1F1C13"	"Gut"	"G1"	"F1"	"C"	13	"F1C"	"GF1C"	"D"
"22"	"G1F1C14"	"Gut"	"G1"	"F1"	"C"	14	"F1C"	"GF1C"	"D"
"23"	"G1F1C15"	"Gut"	"G1"	"F1"	"C"	15	"F1C"	"GF1C"	"D"
"24"	"G1F1C2"	"Gut"	"G1"	"F1"	"C"	2	"F1C"	"GF1C"	"D"
"25"	"G1F1C3"	"Gut"	"G1"	"F1"	"C"	3	"F1C"	"GF1C"	"D"
"26"	"G1F1C4"	"Gut"	"G1"	"F1"	"C"	4	"F1C"	"GF1C"	"D"
"27"	"G1F1C5"	"Gut"	"G1"	"F1"	"C"	5	"F1C"	"GF1C"	"D"
"28"	"G1F1C6"	"Gut"	"G1"	"F1"	"C"	6	"F1C"	"GF1C"	"D"
"29"	"G1F1C7"	"Gut"	"G1"	"F1"	"C"	7	"F1C"	"GF1C"	"D"
"30"	"G1F1C8"	"Gut"	"G1"	"F1"	"C"	8	"F1C"	"GF1C"	"D"
"31"	"G1F1C9"	"Gut"	"G1"	"F1"	"C"	9	"F1C"	"GF1C"	"D"
"32"	"G1F1N1"	"Gut"	"G1"	"F1"	"N"	1	"F1N"	"GF1N"	"D"
"33"	"G1F1N10"	"Gut"	"G1"	"F1"	"N"	10	"F1N"	"GF1N"	"D"
"34"	"G1F1N11"	"Gut"	"G1"	"F1"	"N"	11	"F1N"	"GF1N"	"D"
"35"	"G1F1N12"	"Gut"	"G1"	"F1"	"N"	12	"F1N"	"GF1N"	"D"
"36"	"G1F1N13"	"Gut"	"G1"	"F1"	"N"	13	"F1N"	"GF1N"	"D"
"37"	"G1F1N14"	"Gut"	"G1"	"F1"	"N"	14	"F1N"	"GF1N"	"D"
"38"	"G1F1N15"	"Gut"	"G1"	"F1"	"N"	15	"F1N"	"GF1N"	"D"
"39"	"G1F1N2"	"Gut"	"G1"	"F1"	"N"	2	"F1N"	"GF1N"	"D"
"40"	"G1F1N3"	"Gut"	"G1"	"F1"	"N"	3	"F1N"	"GF1N"	"D"
"41"	"G1F1N4"	"Gut"	"G1"	"F1"	"N"	4	"F1N"	"GF1N"	"D"
"42"	"G1F1N5"	"Gut"	"G1"	"F1"	"N"	5	"F1N"	"GF1N"	"D"
"43"	"G1F1N6"	"Gut"	"G1"	"F1"	"N"	6	"F1N"	"GF1N"	"D"
"44"	"G1F1N7"	"Gut"	"G1"	"F1"	"N"	7	"F1N"	"GF1N"	"D"
"45"	"G1F1N8"	"Gut"	"G1"	"F1"	"N"	8	"F1N"	"GF1N"	"D"
"46"	"G1F1N9"	"Gut"	"G1"	"F1"	"N"	9	"F1N"	"GF1N"	"D"
"47"	"G2F2C1"	"Gut"	"G2"	"F2"	"C"	1	"F2C"	"GF2C"	"T"
"48"	"G2F2C10"	"Gut"	"G2"	"F2"	"C"	10	"F2C"	"GF2C"	"T"
"49"	"G2F2C11"	"Gut"	"G2"	"F2"	"C"	11	"F2C"	"GF2C"	"T"
"50"	"G2F2C12"	"Gut"	"G2"	"F2"	"C"	12	"F2C"	"GF2C"	"T"
"51"	"G2F2C13"	"Gut"	"G2"	"F2"	"C"	13	"F2C"	"GF2C"	"T"
"52"	"G2F2C14"	"Gut"	"G2"	"F2"	"C"	14	"F2C"	"GF2C"	"T"
"53"	"G2F2C15"	"Gut"	"G2"	"F2"	"C"	15	"F2C"	"GF2C"	"T"
"54"	"G2F2C2"	"Gut"	"G2"	"F2"	"C"	2	"F2C"	"GF2C"	"T"
"55"	"G2F2C3"	"Gut"	"G2"	"F2"	"C"	3	"F2C"	"GF2C"	"T"
"56"	"G2F2C4"	"Gut"	"G2"	"F2"	"C"	4	"F2C"	"GF2C"	"T"
"57"	"G2F2C5"	"Gut"	"G2"	"F2"	"C"	5	"F2C"	"GF2C"	"T"
"58"	"G2F2C6"	"Gut"	"G2"	"F2"	"C"	6	"F2C"	"GF2C"	"T"
