Generation,ASV ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance,D0,D1,D2,D3,D4,D5
F0,c9b064a4bee2207594dc663648379464,465.7764443,6.377478288,1.182599337,5.392763286,6.94E-08,6.94E-07,***,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
F0,de18832ab936a2e53bf91171b28020a0,53.13302009,4.163630117,1.379793728,3.017574317,0.002548066,0.004246776,**,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
F0,6347f49f29498ca5d372acf078867f8c,51.69490292,6.165561209,1.899521474,3.245849701,0.001171006,0.002927516,**,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
F0,fb41cd895d082d5461862d893a37a1b9,72.29778716,2.771286987,1.631382157,1.698735625,0.089369008,0.099298898,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
F0,062ac1aebea142de9d1236da50fdb655,17.03869226,4.844687856,2.142544145,2.261184614,0.023747827,0.029684784,*,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
F0,174872368223bcde1cf49a818f9e4b01,23.03605538,5.03809372,2.095098469,2.404704979,0.016185526,0.02312218,*,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
F0,b4d99952ced36febcddb9f39e9fe2dc8,858.780514,-3.10E-08,0.074687012,-4.15E-07,0.999999669,0.999999669,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter
F0,0834d300bbf5fa7e9eda32ee071b8c72,132.178557,4.947585049,1.462338935,3.383336743,0.000716108,0.002387026,**,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
F0,a63128c4e2f679060a82a66ff33a958b,78.77879557,5.903657891,1.890561923,3.122700093,0.001792002,0.003584005,**,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella
F0,dd139632dad6dcd1755c755856df4c04,38.98070007,9.016893648,2.026540768,4.449401557,8.61E-06,4.31E-05,***,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus
F1,c9b064a4bee2207594dc663648379464,465.7764443,-0.473754966,0.798959692,-0.59296479,0.553204716,0.614671907,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
F1,de18832ab936a2e53bf91171b28020a0,53.13302009,-2.965560381,0.97818373,-3.031700785,0.002431801,0.024318013,*,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
F1,6347f49f29498ca5d372acf078867f8c,51.69490292,0.983705304,1.209201913,0.813516166,0.415922181,0.594174545,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
F1,fb41cd895d082d5461862d893a37a1b9,72.29778716,0.580355983,0.883302155,0.657029964,0.51116165,0.614671907,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
F1,062ac1aebea142de9d1236da50fdb655,17.03869226,-1.559597971,1.513328054,-1.030574941,0.302740192,0.578687722,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
F1,174872368223bcde1cf49a818f9e4b01,23.03605538,-1.277930543,1.359486684,-0.940009606,0.347212633,0.578687722,,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
F1,b4d99952ced36febcddb9f39e9fe2dc8,858.780514,1.75E-17,0.056287939,3.11E-16,1,1,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter
F1,0834d300bbf5fa7e9eda32ee071b8c72,132.178557,-1.44505345,1.022540387,-1.413199389,0.157597106,0.511201995,,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
F1,a63128c4e2f679060a82a66ff33a958b,78.77879557,1.648750727,1.299366016,1.268888602,0.204480798,0.511201995,,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella
F1,dd139632dad6dcd1755c755856df4c04,38.98070007,-3.575546491,1.347448,-2.653569186,0.007964544,0.039822721,*,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus
F2,da7cab201e10d58293aef7765e409c6d,35.44384746,3.589130238,1.07753491,3.330871423,0.000865746,0.003751565,**,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
F2,c9b064a4bee2207594dc663648379464,142.8727253,1.293581215,0.42430129,3.048732698,0.002298089,0.007468788,**,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
F2,de18832ab936a2e53bf91171b28020a0,14.41427465,3.249165869,1.467411532,2.214215848,0.026813934,0.069716229,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
F2,783c5bc40513df5700ca8214f107ec38,806.2517244,0.922474548,0.757164187,1.218328289,0.223099244,0.362536272,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
F2,48c8bd27f935e5531d052fd240923a71,770.3186009,1.01933098,0.836530392,1.218522352,0.223025536,0.362536272,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
F2,091521a73983b3712a43dcf3625592dd,244.4861125,3.739087114,0.829725657,4.506413753,6.59E-06,8.57E-05,***,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
F2,6347f49f29498ca5d372acf078867f8c,40.69085113,0.471767984,0.754923265,0.624921771,0.532022403,0.701268082,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
F2,fb41cd895d082d5461862d893a37a1b9,113.8946467,1.939443691,0.553432555,3.504390322,0.000457654,0.002974751,**,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
F2,79664111b317958d305544681f0bd3dd,28.2949723,1.256655624,0.976373782,1.287064081,0.198071954,0.362536272,,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
F2,b4d99952ced36febcddb9f39e9fe2dc8,1371.317548,-7.09E-09,0.036913946,-1.92E-07,0.999999847,0.999999847,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter
F2,0834d300bbf5fa7e9eda32ee071b8c72,22.67225945,-0.091159066,0.733573906,-0.124267051,0.901103835,0.976195821,,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
F2,a63128c4e2f679060a82a66ff33a958b,3.348357381,-0.8134891,2.726193462,-0.298397422,0.765399857,0.904563467,,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella
F2,dd139632dad6dcd1755c755856df4c04,4.252653667,1.336867373,2.178498443,0.613664599,0.539436986,0.701268082,,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus
F3,da7cab201e10d58293aef7765e409c6d,35.44384746,-0.767713462,1.01939193,-0.753109221,0.451384284,1,,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
F3,c9b064a4bee2207594dc663648379464,142.8727253,-0.354481806,0.430394811,-0.823620074,0.410155466,1,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
F3,de18832ab936a2e53bf91171b28020a0,14.41427465,0.194415138,1.508870399,0.128848136,0.897477816,1,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
F3,783c5bc40513df5700ca8214f107ec38,806.2517244,-0.021099248,0.757388269,-0.027857902,0.977775485,1,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
F3,48c8bd27f935e5531d052fd240923a71,770.3186009,-0.198299067,0.84145709,-0.235661532,0.813695322,1,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
F3,091521a73983b3712a43dcf3625592dd,244.4861125,-0.141475988,0.579931062,-0.243953112,0.807267134,1,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
F3,6347f49f29498ca5d372acf078867f8c,40.69085113,-0.68826986,0.754975192,-0.911645663,0.361955277,1,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
F3,fb41cd895d082d5461862d893a37a1b9,113.8946467,0.021614284,0.549557635,0.039330332,0.968627024,1,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
F3,79664111b317958d305544681f0bd3dd,28.2949723,0.259963246,0.745226933,0.348837695,0.727211162,1,,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
F3,b4d99952ced36febcddb9f39e9fe2dc8,1371.317548,-2.17E-15,0.041655518,-5.22E-14,1,1,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter
F3,0834d300bbf5fa7e9eda32ee071b8c72,22.67225945,-0.412414362,0.741531797,-0.556165446,0.578097759,1,,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
F3,a63128c4e2f679060a82a66ff33a958b,3.348357381,-0.922529959,2.75540407,-0.334807504,0.737770299,1,,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella
F3,dd139632dad6dcd1755c755856df4c04,4.252653667,-2.344374457,2.230779548,-1.05092162,0.29329459,1,,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus
