OTU ID	G1F0C1A	G1F0C2A	G1F0C3A	G1F0C4A	G1F0C5A	G1F0C6A	G1F0C7A	G1F0C8A	G1F0H1A	G1F0H2A	G1F0H3A	G1F0H4A	G1F0H5A	G1F0H6A	G1F0H7A	G1F0H8A	G1F0N1A	G1F0N2A	G1F0N3A	G1F0N4A	G1F0N5A	G1F0N6A	G1F0N7A	G1F0N8A	G1F1C1	G1F1C10	G1F1C11	G1F1C12	G1F1C13	G1F1C14	G1F1C15	G1F1C2	G1F1C3	G1F1C4	G1F1C5	G1F1C6	G1F1C7	G1F1C8	G1F1C9	G1F1H1	G1F1H10	G1F1H11	G1F1H12	G1F1H13	G1F1H14	G1F1H15	G1F1H2	G1F1H3	G1F1H4	G1F1H5	G1F1H6	G1F1H7	G1F1H8	G1F1H9	G1F1N1	G1F1N10	G1F1N11	G1F1N12	G1F1N13	G1F1N14	G1F1N15	G1F1N2	G1F1N3	G1F1N4	G1F1N5	G1F1N6	G1F1N7	G1F1N8	G1F1N9	G2F2C1	G2F2C10	G2F2C11	G2F2C12	G2F2C13	G2F2C14	G2F2C15	G2F2C15B	G2F2C2	G2F2C3	G2F2C4	G2F2C5	G2F2C6	G2F2C7	G2F2C8	G2F2C9	G2F2H1	G2F2H10	G2F2H11	G2F2H12	G2F2H13	G2F2H14	G2F2H15	G2F2H2	G2F2H3	G2F2H4	G2F2H5	G2F2H6	G2F2H7	G2F2H8	G2F2H9	G2F2H9B	G2F2N1	G2F2N10	G2F2N11	G2F2N12	G2F2N13	G2F2N14	G2F2N15	G2F2N2	G2F2N3	G2F2N4	G2F2N5	G2F2N6	G2F2N7	G2F2N8	G2F2N9	G2F3C1	G2F3C10	G2F3C11	G2F3C12	G2F3C13	G2F3C14	G2F3C15	G2F3C2	G2F3C3	G2F3C4	G2F3C5	G2F3C6	G2F3C7	G2F3C8	G2F3C9	G2F3H1	G2F3H10	G2F3H11	G2F3H12	G2F3H13	G2F3H14	G2F3H15	G2F3H2	G2F3H3	G2F3H4	G2F3H5	G2F3H6	G2F3H7	G2F3H8	G2F3H9	G2F3N1	G2F3N10	G2F3N11	G2F3N12	G2F3N13	G2F3N14	G2F3N15	G2F3N2	G2F3N3	G2F3N4	G2F3N5	G2F3N6	G2F3N7	G2F3N8	G2F3N9	MF0C1	MF0C2	MF0C3	MF0C4	MF0C5	MF0C6	MF0C7	MF0C8	MF0H1	MF0H2	MF0H3	MF0H4	MF0H6	MF0H7	MF0H8	MF0N1	MF0N2	MF0N3	MF0N4	MF0N5	MF0N6	MF0N7	MF0N8	MF1C1	MF1C2	MF1C3	MF1C4	MF1C5	MF1C6	MF1C7	MF1C8	MF1H1	MF1H2	MF1H3	MF1H4	MF1H5	MF1H6	MF1H7	MF1H8	MF1N1	MF1N2	MF1N3	MF1N4	MF1N5	MF1N6	MF1N7	MF1N8	MF2C1	MF2C2	MF2C3	MF2C4	MF2C5	MF2C6	MF2C7	MF2C8	MF2H1	MF2H2	MF2H3	MF2H4	MF2H5	MF2H6	MF2H7	MF2H8	MF2N1	MF2N2	MF2N3	MF2N4	MF2N5	MF2N6	MF2N7	MF2N8	MF3C1	MF3C2	MF3C3	MF3C4	MF3C5	MF3C6	MF3C7	MF3C8	MF3H1	MF3H2	MF3H3	MF3H4	MF3H5	MF3H6	MF3H7	MF3H8	MF3N1	MF3N2	MF3N3	MF3N4	MF3N5	MF3N6	MF3N7	MF3N8	MFH5
b4d99952ced36febcddb9f39e9fe2dc8	1110.0	909.0	479.0	660.0	188.0	982.0	690.0	1792.0	1135.0	358.0	1887.0	1196.0	1383.0	1435.0	1324.0	425.0	7657.0	4244.0	4011.0	4171.0	3134.0	2862.0	7113.0	6048.0	831.0	461.0	3951.0	730.0	18.0	83.0	606.0	358.0	2412.0	2336.0	1127.0	1908.0	756.0	768.0	4856.0	977.0	19.0	4212.0	321.0	707.0	537.0	1471.0	1625.0	2652.0	1982.0	5358.0	233.0	63.0	810.0	239.0	61.0	810.0	670.0	78.0	1261.0	974.0	669.0	76.0	337.0	656.0	1647.0	427.0	849.0	458.0	645.0	2262.0	2526.0	1079.0	2458.0	3127.0	2252.0	1020.0	156.0	1619.0	1486.0	1738.0	6193.0	5381.0	4874.0	5992.0	3062.0	5222.0	13596.0	1143.0	1490.0	752.0	2304.0	1424.0	1747.0	4516.0	1842.0	1634.0	1887.0	1235.0	1107.0	2415.0	755.0	2861.0	4341.0	3987.0	7956.0	3437.0	2915.0	1823.0	7660.0	3436.0	9073.0	3508.0	5141.0	1463.0	2401.0	2709.0	472.0	775.0	535.0	641.0	442.0	1046.0	796.0	622.0	725.0	882.0	1587.0	365.0	454.0	429.0	632.0	1247.0	215.0	155.0	10923.0	1340.0	527.0	376.0	364.0	2399.0	112.0	44.0	926.0	1328.0	1051.0	366.0	1688.0	2084.0	1255.0	1923.0	1261.0	569.0	853.0	268.0	771.0	244.0	626.0	631.0	306.0	236.0	380.0	56585.0	67201.0	54233.0	48881.0	45406.0	54824.0	46472.0	62716.0	47992.0	39624.0	48563.0	62301.0	40123.0	76498.0	36840.0	48023.0	59847.0	63123.0	41553.0	56939.0	121655.0	58895.0	53420.0	54300.0	108121.0	37200.0	34918.0	148921.0	63877.0	51530.0	71378.0	53436.0	81752.0	28715.0	63158.0	76741.0	140627.0	40273.0	56915.0	68525.0	57501.0	40601.0	59069.0	90491.0	71590.0	59714.0	47271.0	112128.0	96892.0	124464.0	24685.0	65283.0	22885.0	76250.0	23707.0	43751.0	39972.0	92289.0	41883.0	115037.0	22015.0	22743.0	17334.0	108994.0	98698.0	120703.0	30789.0	58011.0	85494.0	65773.0	52989.0	54075.0	54955.0	16193.0	27061.0	194731.0	81692.0	48438.0	166.0	59479.0	1283.0	911.0	9856.0	55759.0	31156.0	48279.0	15687.0	4669.0	81389.0	43182.0	18411.0	82813.0	17394.0	37187.0	76075.0	35412.0
783c5bc40513df5700ca8214f107ec38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	50.0	0.0	48.0	0.0	36.0	12.0	0.0	29.0	63.0	25.0	18.0	46.0	0.0	0.0	0.0	0.0	0.0	23.0	43.0	40.0	0.0	0.0	24.0	0.0	24.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	22.0	97.0	20.0	0.0	77.0	10.0	839.0	464.0	1332.0	1201.0	405.0	884.0	1333.0	489.0	224.0	371.0	467.0	709.0	782.0	392.0	707.0	557.0	779.0	707.0	0.0	1655.0	1255.0	289.0	845.0	671.0	231.0	72.0	167.0	290.0	445.0	1735.0	541.0	1097.0	1153.0	513.0	1053.0	1199.0	974.0	275.0	296.0	326.0	347.0	728.0	1060.0	499.0	683.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48c8bd27f935e5531d052fd240923a71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	14.0	32.0	0.0	18.0	0.0	21.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	75.0	35.0	0.0	0.0	15.0	30.0	0.0	0.0	0.0	16.0	27.0	0.0	22.0	0.0	0.0	50.0	0.0	33.0	39.0	50.0	9.0	48.0	0.0	37.0	0.0	52.0	0.0	0.0	0.0	20.0	0.0	0.0	564.0	556.0	1504.0	922.0	389.0	936.0	1113.0	428.0	191.0	373.0	553.0	595.0	540.0	374.0	667.0	495.0	982.0	963.0	43.0	1937.0	1123.0	285.0	577.0	720.0	219.0	0.0	161.0	319.0	486.0	1701.0	530.0	943.0	1031.0	419.0	1046.0	944.0	961.0	288.0	324.0	528.0	396.0	914.0	784.0	518.0	843.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c9b064a4bee2207594dc663648379464	25.0	0.0	0.0	0.0	41.0	25.0	55.0	0.0	31.0	0.0	30.0	41.0	0.0	52.0	68.0	21.0	0.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	150.0	135.0	508.0	253.0	83.0	165.0	264.0	249.0	254.0	250.0	531.0	281.0	231.0	211.0	288.0	382.0	388.0	245.0	205.0	697.0	147.0	246.0	348.0	239.0	329.0	581.0	124.0	343.0	350.0	548.0	211.0	577.0	296.0	331.0	260.0	281.0	105.0	100.0	298.0	318.0	158.0	39.0	144.0	264.0	518.0	53.0	109.0	34.0	245.0	124.0	47.0	234.0	35.0	59.0	14.0	77.0	106.0	92.0	46.0	111.0	337.0	167.0	11.0	49.0	60.0	72.0	78.0	47.0	153.0	140.0	89.0	72.0	77.0	56.0	112.0	92.0	23.0	63.0	54.0	149.0	26.0	68.0	88.0	78.0	0.0	126.0	100.0	158.0	85.0	35.0	76.0	86.0	83.0	55.0	169.0	136.0	58.0	127.0	151.0	85.0	30.0	52.0	75.0	103.0	92.0	50.0	60.0	91.0	108.0	115.0	0.0	274.0	142.0	50.0	113.0	150.0	27.0	9.0	28.0	31.0	92.0	167.0	114.0	160.0	164.0	101.0	142.0	197.0	140.0	55.0	41.0	46.0	63.0	134.0	115.0	112.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19a7ca463a3fe1ec83d1ab0daeee93f9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	0.0	0.0	6.0	0.0	13.0	0.0	0.0	0.0	0.0	5.0	0.0	26.0	0.0	0.0	104.0	53.0	190.0	125.0	299.0	137.0	278.0	182.0	90.0	93.0	248.0	76.0	148.0	39.0	85.0	258.0	270.0	5.0	195.0	207.0	119.0	171.0	113.0	188.0	164.0	58.0	75.0	61.0	137.0	129.0	127.0	149.0	40.0	114.0	179.0	59.0	137.0	98.0	54.0	0.0	53.0	36.0	155.0	109.0	38.0	76.0	70.0	179.0	51.0	94.0	201.0	45.0	108.0	124.0	172.0	156.0	96.0	139.0	128.0	211.0	203.0	92.0	186.0	125.0	89.0	0.0	197.0	61.0	53.0	181.0	184.0	126.0	18.0	97.0	112.0	123.0	126.0	230.0	107.0	96.0	149.0	172.0	136.0	68.0	58.0	127.0	203.0	72.0	106.0	120.0	52.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
091521a73983b3712a43dcf3625592dd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	156.0	418.0	338.0	125.0	244.0	434.0	154.0	77.0	121.0	192.0	185.0	235.0	127.0	194.0	139.0	322.0	201.0	0.0	592.0	345.0	84.0	183.0	272.0	66.0	0.0	60.0	106.0	204.0	596.0	157.0	374.0	312.0	192.0	320.0	353.0	276.0	112.0	117.0	128.0	139.0	275.0	286.0	142.0	226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fb41cd895d082d5461862d893a37a1b9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	34.0	120.0	106.0	19.0	47.0	25.0	47.0	33.0	103.0	0.0	74.0	29.0	79.0	50.0	70.0	103.0	33.0	0.0	150.0	43.0	54.0	38.0	34.0	28.0	89.0	26.0	77.0	27.0	100.0	20.0	146.0	0.0	29.0	98.0	0.0	20.0	0.0	72.0	28.0	51.0	0.0	20.0	43.0	58.0	0.0	20.0	12.0	45.0	15.0	12.0	46.0	15.0	37.0	0.0	21.0	30.0	53.0	21.0	33.0	59.0	0.0	0.0	0.0	45.0	10.0	0.0	0.0	0.0	25.0	6.0	16.0	19.0	5.0	17.0	16.0	0.0	20.0	27.0	0.0	0.0	13.0	0.0	12.0	0.0	27.0	0.0	21.0	21.0	0.0	34.0	13.0	91.0	45.0	175.0	131.0	72.0	141.0	251.0	69.0	30.0	62.0	51.0	80.0	87.0	78.0	89.0	89.0	112.0	140.0	0.0	197.0	150.0	52.0	52.0	100.0	42.0	0.0	20.0	24.0	80.0	175.0	83.0	104.0	125.0	139.0	94.0	145.0	115.0	44.0	57.0	46.0	42.0	111.0	136.0	74.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0834d300bbf5fa7e9eda32ee071b8c72	9.0	0.0	13.0	16.0	4.0	96.0	94.0	7.0	45.0	24.0	118.0	14.0	13.0	47.0	15.0	24.0	5.0	0.0	0.0	12.0	0.0	14.0	13.0	8.0	0.0	30.0	88.0	34.0	0.0	114.0	29.0	11.0	17.0	9.0	72.0	13.0	80.0	0.0	26.0	62.0	46.0	51.0	123.0	98.0	53.0	83.0	11.0	41.0	50.0	79.0	13.0	124.0	44.0	92.0	160.0	186.0	0.0	48.0	155.0	0.0	0.0	18.0	157.0	85.0	20.0	0.0	90.0	15.0	162.0	0.0	5.0	26.0	12.0	32.0	0.0	14.0	0.0	8.0	5.0	0.0	22.0	50.0	0.0	25.0	32.0	0.0	0.0	0.0	12.0	21.0	31.0	6.0	0.0	13.0	0.0	0.0	19.0	45.0	21.0	60.0	19.0	4.0	0.0	36.0	5.0	19.0	21.0	14.0	0.0	60.0	18.0	40.0	29.0	20.0	8.0	19.0	18.0	0.0	13.0	13.0	5.0	0.0	36.0	22.0	21.0	20.0	39.0	0.0	20.0	8.0	26.0	0.0	82.0	0.0	0.0	63.0	37.0	19.0	0.0	0.0	0.0	0.0	0.0	11.0	12.0	66.0	21.0	17.0	30.0	34.0	87.0	120.0	0.0	0.0	12.0	0.0	5.0	0.0	6.0	6.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8a7af679d77f0ad2c95591fb45a118db	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3358.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
de18832ab936a2e53bf91171b28020a0	27.0	21.0	62.0	26.0	0.0	62.0	22.0	0.0	0.0	19.0	75.0	54.0	0.0	124.0	41.0	79.0	0.0	0.0	0.0	23.0	12.0	13.0	11.0	18.0	0.0	56.0	24.0	29.0	0.0	0.0	0.0	0.0	39.0	43.0	63.0	14.0	0.0	0.0	7.0	0.0	44.0	35.0	47.0	52.0	24.0	37.0	39.0	19.0	13.0	64.0	16.0	0.0	71.0	64.0	65.0	81.0	35.0	33.0	73.0	51.0	0.0	0.0	0.0	39.0	45.0	33.0	16.0	55.0	102.0	25.0	0.0	15.0	27.0	33.0	0.0	20.0	43.0	12.0	0.0	41.0	0.0	81.0	0.0	0.0	52.0	30.0	0.0	23.0	0.0	0.0	20.0	0.0	0.0	14.0	30.0	0.0	0.0	0.0	8.0	12.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	24.0	0.0	28.0	26.0	0.0	37.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	10.0	0.0	11.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	12.0	0.0	0.0	0.0	12.0	7.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	0.0	0.0	0.0	9.0	0.0	0.0	15.0	26.0	6.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
