ID	SampleType	Plate	Generation	Treatment	SampleNumber	GenTreat	TypeGenTreat	TransGen
G1F0C1A	Gut	G1	F0	CD	1	F0CD	GF0CD	D
G1F0C2A	Gut	G1	F0	CD	2	F0CD	GF0CD	D
G1F0C3A	Gut	G1	F0	CD	3	F0CD	GF0CD	D
G1F0C4A	Gut	G1	F0	CD	4	F0CD	GF0CD	D
G1F0C5A	Gut	G1	F0	CD	5	F0CD	GF0CD	D
G1F0C6A	Gut	G1	F0	CD	6	F0CD	GF0CD	D
G1F0C7A	Gut	G1	F0	CD	7	F0CD	GF0CD	D
G1F0C8A	Gut	G1	F0	CD	8	F0CD	GF0CD	D
G1F0H1A	Gut	G1	F0	HSD	1	F0HSD	GF0HSD	D
G1F0H2A	Gut	G1	F0	HSD	2	F0HSD	GF0HSD	D
G1F0H3A	Gut	G1	F0	HSD	3	F0HSD	GF0HSD	D
G1F0H4A	Gut	G1	F0	HSD	4	F0HSD	GF0HSD	D
G1F0H5A	Gut	G1	F0	HSD	5	F0HSD	GF0HSD	D
G1F0H6A	Gut	G1	F0	HSD	6	F0HSD	GF0HSD	D
G1F0H7A	Gut	G1	F0	HSD	7	F0HSD	GF0HSD	D
G1F0H8A	Gut	G1	F0	HSD	8	F0HSD	GF0HSD	D
G1F0N1A	Gut	G1	F0	NSD	1	F0NSD	GF0NSD	D
G1F0N2A	Gut	G1	F0	NSD	2	F0NSD	GF0NSD	D
G1F0N3A	Gut	G1	F0	NSD	3	F0NSD	GF0NSD	D
G1F0N4A	Gut	G1	F0	NSD	4	F0NSD	GF0NSD	D
G1F0N5A	Gut	G1	F0	NSD	5	F0NSD	GF0NSD	D
G1F0N6A	Gut	G1	F0	NSD	6	F0NSD	GF0NSD	D
G1F0N7A	Gut	G1	F0	NSD	7	F0NSD	GF0NSD	D
G1F0N8A	Gut	G1	F0	NSD	8	F0NSD	GF0NSD	D
G1F1C1	Gut	G1	F1	CD	1	F1CD	GF1CD	D
G1F1C10	Gut	G1	F1	CD	10	F1CD	GF1CD	D
G1F1C11	Gut	G1	F1	CD	11	F1CD	GF1CD	D
G1F1C12	Gut	G1	F1	CD	12	F1CD	GF1CD	D
G1F1C13	Gut	G1	F1	CD	13	F1CD	GF1CD	D
G1F1C14	Gut	G1	F1	CD	14	F1CD	GF1CD	D
G1F1C15	Gut	G1	F1	CD	15	F1CD	GF1CD	D
G1F1C2	Gut	G1	F1	CD	2	F1CD	GF1CD	D
G1F1C3	Gut	G1	F1	CD	3	F1CD	GF1CD	D
G1F1C4	Gut	G1	F1	CD	4	F1CD	GF1CD	D
G1F1C5	Gut	G1	F1	CD	5	F1CD	GF1CD	D
G1F1C6	Gut	G1	F1	CD	6	F1CD	GF1CD	D
G1F1C7	Gut	G1	F1	CD	7	F1CD	GF1CD	D
G1F1C8	Gut	G1	F1	CD	8	F1CD	GF1CD	D
G1F1C9	Gut	G1	F1	CD	9	F1CD	GF1CD	D
G1F1H1	Gut	G1	F1	HSD	1	F1HSD	GF1HSD	D
G1F1H10	Gut	G1	F1	HSD	10	F1HSD	GF1HSD	D
G1F1H11	Gut	G1	F1	HSD	11	F1HSD	GF1HSD	D
G1F1H12	Gut	G1	F1	HSD	12	F1HSD	GF1HSD	D
G1F1H13	Gut	G1	F1	HSD	13	F1HSD	GF1HSD	D
G1F1H14	Gut	G1	F1	HSD	14	F1HSD	GF1HSD	D
G1F1H15	Gut	G1	F1	HSD	15	F1HSD	GF1HSD	D
G1F1H2	Gut	G1	F1	HSD	2	F1HSD	GF1HSD	D
G1F1H3	Gut	G1	F1	HSD	3	F1HSD	GF1HSD	D
G1F1H4	Gut	G1	F1	HSD	4	F1HSD	GF1HSD	D
G1F1H5	Gut	G1	F1	HSD	5	F1HSD	GF1HSD	D
G1F1H6	Gut	G1	F1	HSD	6	F1HSD	GF1HSD	D
G1F1H7	Gut	G1	F1	HSD	7	F1HSD	GF1HSD	D
G1F1H8	Gut	G1	F1	HSD	8	F1HSD	GF1HSD	D
G1F1H9	Gut	G1	F1	HSD	9	F1HSD	GF1HSD	D
G1F1N1	Gut	G1	F1	NSD	1	F1NSD	GF1NSD	D
G1F1N10	Gut	G1	F1	NSD	10	F1NSD	GF1NSD	D
G1F1N11	Gut	G1	F1	NSD	11	F1NSD	GF1NSD	D
G1F1N12	Gut	G1	F1	NSD	12	F1NSD	GF1NSD	D
G1F1N13	Gut	G1	F1	NSD	13	F1NSD	GF1NSD	D
G1F1N14	Gut	G1	F1	NSD	14	F1NSD	GF1NSD	D
G1F1N15	Gut	G1	F1	NSD	15	F1NSD	GF1NSD	D
G1F1N2	Gut	G1	F1	NSD	2	F1NSD	GF1NSD	D
G1F1N3	Gut	G1	F1	NSD	3	F1NSD	GF1NSD	D
G1F1N4	Gut	G1	F1	NSD	4	F1NSD	GF1NSD	D
G1F1N5	Gut	G1	F1	NSD	5	F1NSD	GF1NSD	D
G1F1N6	Gut	G1	F1	NSD	6	F1NSD	GF1NSD	D
G1F1N7	Gut	G1	F1	NSD	7	F1NSD	GF1NSD	D
G1F1N8	Gut	G1	F1	NSD	8	F1NSD	GF1NSD	D
G1F1N9	Gut	G1	F1	NSD	9	F1NSD	GF1NSD	D
G2F2C1	Gut	G2	F2	CD	1	F2CD	GF2CD	T
G2F2C10	Gut	G2	F2	CD	10	F2CD	GF2CD	T
G2F2C11	Gut	G2	F2	CD	11	F2CD	GF2CD	T
G2F2C12	Gut	G2	F2	CD	12	F2CD	GF2CD	T
G2F2C13	Gut	G2	F2	CD	13	F2CD	GF2CD	T
G2F2C14	Gut	G2	F2	CD	14	F2CD	GF2CD	T
G2F2C15	Gut	G2	F2	CD	15	F2CD	GF2CD	T
G2F2C2	Gut	G2	F2	CD	2	F2CD	GF2CD	T
G2F2C3	Gut	G2	F2	CD	3	F2CD	GF2CD	T
G2F2C4	Gut	G2	F2	CD	4	F2CD	GF2CD	T
G2F2C5	Gut	G2	F2	CD	5	F2CD	GF2CD	T
G2F2C6	Gut	G2	F2	CD	6	F2CD	GF2CD	T
G2F2C7	Gut	G2	F2	CD	7	F2CD	GF2CD	T
G2F2C8	Gut	G2	F2	CD	8	F2CD	GF2CD	T
G2F2C9	Gut	G2	F2	CD	9	F2CD	GF2CD	T
G2F2H1	Gut	G2	F2	HSD	1	F2HSD	GF2HSD	T
G2F2H10	Gut	G2	F2	HSD	10	F2HSD	GF2HSD	T
G2F2H11	Gut	G2	F2	HSD	11	F2HSD	GF2HSD	T
G2F2H12	Gut	G2	F2	HSD	12	F2HSD	GF2HSD	T
G2F2H13	Gut	G2	F2	HSD	13	F2HSD	GF2HSD	T
G2F2H14	Gut	G2	F2	HSD	14	F2HSD	GF2HSD	T
G2F2H15	Gut	G2	F2	HSD	15	F2HSD	GF2HSD	T
G2F2H2	Gut	G2	F2	HSD	2	F2HSD	GF2HSD	T
G2F2H3	Gut	G2	F2	HSD	3	F2HSD	GF2HSD	T
G2F2H4	Gut	G2	F2	HSD	4	F2HSD	GF2HSD	T
G2F2H5	Gut	G2	F2	HSD	5	F2HSD	GF2HSD	T
G2F2H6	Gut	G2	F2	HSD	6	F2HSD	GF2HSD	T
G2F2H7	Gut	G2	F2	HSD	7	F2HSD	GF2HSD	T
G2F2H8	Gut	G2	F2	HSD	8	F2HSD	GF2HSD	T
G2F2H9	Gut	G2	F2	HSD	9	F2HSD	GF2HSD	T
G2F2N1	Gut	G2	F2	NSD	1	F2NSD	GF2NSD	T
G2F2N10	Gut	G2	F2	NSD	10	F2NSD	GF2NSD	T
G2F2N11	Gut	G2	F2	NSD	11	F2NSD	GF2NSD	T
G2F2N12	Gut	G2	F2	NSD	12	F2NSD	GF2NSD	T
G2F2N13	Gut	G2	F2	NSD	13	F2NSD	GF2NSD	T
G2F2N14	Gut	G2	F2	NSD	14	F2NSD	GF2NSD	T
G2F2N15	Gut	G2	F2	NSD	15	F2NSD	GF2NSD	T
G2F2N2	Gut	G2	F2	NSD	2	F2NSD	GF2NSD	T
G2F2N3	Gut	G2	F2	NSD	3	F2NSD	GF2NSD	T
G2F2N4	Gut	G2	F2	NSD	4	F2NSD	GF2NSD	T
G2F2N5	Gut	G2	F2	NSD	5	F2NSD	GF2NSD	T
G2F2N6	Gut	G2	F2	NSD	6	F2NSD	GF2NSD	T
G2F2N7	Gut	G2	F2	NSD	7	F2NSD	GF2NSD	T
G2F2N8	Gut	G2	F2	NSD	8	F2NSD	GF2NSD	T
G2F2N9	Gut	G2	F2	NSD	9	F2NSD	GF2NSD	T
G2F3C1	Gut	G2	F3	CD	1	F3CD	GF3CD	T
G2F3C10	Gut	G2	F3	CD	10	F3CD	GF3CD	T
G2F3C11	Gut	G2	F3	CD	11	F3CD	GF3CD	T
G2F3C12	Gut	G2	F3	CD	12	F3CD	GF3CD	T
G2F3C13	Gut	G2	F3	CD	13	F3CD	GF3CD	T
G2F3C14	Gut	G2	F3	CD	14	F3CD	GF3CD	T
G2F3C15	Gut	G2	F3	CD	15	F3CD	GF3CD	T
G2F3C2	Gut	G2	F3	CD	2	F3CD	GF3CD	T
G2F3C3	Gut	G2	F3	CD	3	F3CD	GF3CD	T
G2F3C4	Gut	G2	F3	CD	4	F3CD	GF3CD	T
G2F3C5	Gut	G2	F3	CD	5	F3CD	GF3CD	T
G2F3C6	Gut	G2	F3	CD	6	F3CD	GF3CD	T
G2F3C7	Gut	G2	F3	CD	7	F3CD	GF3CD	T
G2F3C8	Gut	G2	F3	CD	8	F3CD	GF3CD	T
G2F3C9	Gut	G2	F3	CD	9	F3CD	GF3CD	T
G2F3H1	Gut	G2	F3	HSD	1	F3HSD	GF3HSD	T
G2F3H10	Gut	G2	F3	HSD	10	F3HSD	GF3HSD	T
G2F3H11	Gut	G2	F3	HSD	11	F3HSD	GF3HSD	T
G2F3H12	Gut	G2	F3	HSD	12	F3HSD	GF3HSD	T
G2F3H13	Gut	G2	F3	HSD	13	F3HSD	GF3HSD	T
G2F3H14	Gut	G2	F3	HSD	14	F3HSD	GF3HSD	T
G2F3H15	Gut	G2	F3	HSD	15	F3HSD	GF3HSD	T
G2F3H2	Gut	G2	F3	HSD	2	F3HSD	GF3HSD	T
G2F3H3	Gut	G2	F3	HSD	3	F3HSD	GF3HSD	T
G2F3H4	Gut	G2	F3	HSD	4	F3HSD	GF3HSD	T
G2F3H5	Gut	G2	F3	HSD	5	F3HSD	GF3HSD	T
G2F3H6	Gut	G2	F3	HSD	6	F3HSD	GF3HSD	T
G2F3H7	Gut	G2	F3	HSD	7	F3HSD	GF3HSD	T
G2F3H8	Gut	G2	F3	HSD	8	F3HSD	GF3HSD	T
G2F3H9	Gut	G2	F3	HSD	9	F3HSD	GF3HSD	T
G2F3N1	Gut	G2	F3	NSD	1	F3NSD	GF3NSD	T
G2F3N10	Gut	G2	F3	NSD	10	F3NSD	GF3NSD	T
G2F3N11	Gut	G2	F3	NSD	11	F3NSD	GF3NSD	T
G2F3N12	Gut	G2	F3	NSD	12	F3NSD	GF3NSD	T
G2F3N13	Gut	G2	F3	NSD	13	F3NSD	GF3NSD	T
G2F3N14	Gut	G2	F3	NSD	14	F3NSD	GF3NSD	T
G2F3N15	Gut	G2	F3	NSD	15	F3NSD	GF3NSD	T
G2F3N2	Gut	G2	F3	NSD	2	F3NSD	GF3NSD	T
G2F3N3	Gut	G2	F3	NSD	3	F3NSD	GF3NSD	T
G2F3N4	Gut	G2	F3	NSD	4	F3NSD	GF3NSD	T
G2F3N5	Gut	G2	F3	NSD	5	F3NSD	GF3NSD	T
G2F3N6	Gut	G2	F3	NSD	6	F3NSD	GF3NSD	T
G2F3N7	Gut	G2	F3	NSD	7	F3NSD	GF3NSD	T
G2F3N8	Gut	G2	F3	NSD	8	F3NSD	GF3NSD	T
G2F3N9	Gut	G2	F3	NSD	9	F3NSD	GF3NSD	T
MF0C1	Media	M	F0	CD	1	F0CD	MF0CD	T
